param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_1_anc_1-1,0.000008,0.000000,0.000000,0.000087
Q_ind_2_anc_1-1,0.000008,0.000000,0.000000,0.000080
Q_ind_3_anc_1-1,0.000143,0.000000,0.000000,0.001154
Q_ind_4_anc_1-1,0.005110,0.005007,0.002769,0.008077
Q_ind_5_anc_1-1,0.007850,0.007726,0.004705,0.011618
Q_ind_6_anc_1-1,0.004195,0.004079,0.002062,0.006918
Q_ind_7_anc_1-1,0.004925,0.004828,0.002594,0.007796
Q_ind_8_anc_1-1,0.004372,0.004249,0.002241,0.007238
Q_ind_9_anc_1-1,0.004444,0.004312,0.002327,0.007202
Q_ind_10_anc_1-1,0.003804,0.003704,0.001810,0.006487
Q_ind_11_anc_1-1,0.008479,0.008351,0.005440,0.012132
Q_ind_12_anc_1-1,0.004184,0.004074,0.002161,0.006735
Q_ind_13_anc_1-1,0.002222,0.002092,0.000703,0.004441
Q_ind_14_anc_1-1,0.003402,0.003273,0.001511,0.005968
Q_ind_15_anc_1-1,0.008658,0.008540,0.005388,0.012619
Q_ind_16_anc_1-1,0.004084,0.003987,0.002027,0.006805
Q_ind_17_anc_1-1,0.000167,0.000000,0.000000,0.001263
Q_ind_18_anc_1-1,0.005711,0.005592,0.003091,0.009037
Q_ind_19_anc_1-1,0.003552,0.003454,0.001626,0.006135
Q_ind_20_anc_1-1,0.003818,0.003712,0.001917,0.006230
Q_ind_21_anc_1-1,0.002398,0.002282,0.000945,0.004438
Q_ind_22_anc_1-1,0.001786,0.001660,0.000496,0.003818
Q_ind_23_anc_1-1,0.002849,0.002740,0.001240,0.005074
Q_ind_24_anc_1-1,0.001861,0.001743,0.000618,0.003715
Q_ind_25_anc_1-1,0.002716,0.002590,0.001213,0.004875
Q_ind_26_anc_1-1,0.002067,0.001963,0.000752,0.004008
Q_ind_27_anc_1-1,0.004929,0.004784,0.002686,0.007856
Q_ind_28_anc_1-1,0.005712,0.005595,0.003029,0.009091
Q_ind_29_anc_1-1,0.001275,0.001151,0.000131,0.003132
Q_ind_30_anc_1-1,0.001265,0.001149,0.000227,0.003001
Q_ind_31_anc_1-1,0.999986,1.000000,0.999852,1.000000
Q_ind_32_anc_1-1,0.999986,1.000000,0.999837,1.000000
Q_ind_33_anc_1-1,0.999987,1.000000,0.999850,1.000000
Q_ind_34_anc_1-1,0.999978,1.000000,0.999741,1.000000
Q_ind_35_anc_1-1,0.999984,1.000000,0.999824,1.000000
Q_ind_36_anc_1-1,0.999987,1.000000,0.999847,1.000000
Q_ind_37_anc_1-1,0.999986,1.000000,0.999859,1.000000
Q_ind_38_anc_1-1,0.999986,1.000000,0.999849,1.000000
Q_ind_39_anc_1-1,0.999978,1.000000,0.999748,1.000000
Q_ind_40_anc_1-1,0.999858,1.000000,0.998751,1.000000
Q_ind_41_anc_1-1,0.999986,1.000000,0.999843,1.000000
Q_ind_42_anc_1-1,0.999986,1.000000,0.999831,1.000000
Q_ind_43_anc_1-1,0.999986,1.000000,0.999847,1.000000
Q_ind_44_anc_1-1,0.999987,1.000000,0.999843,1.000000
Q_ind_45_anc_1-1,0.999982,1.000000,0.999809,1.000000
Q_ind_46_anc_1-1,0.999979,1.000000,0.999757,1.000000
Q_ind_47_anc_1-1,0.999989,1.000000,0.999867,1.000000
Q_ind_48_anc_1-1,0.999984,1.000000,0.999813,1.000000
Q_ind_49_anc_1-1,0.999973,1.000000,0.999709,1.000000
Q_ind_50_anc_1-1,0.999985,1.000000,0.999843,1.000000
Q_ind_51_anc_1-1,0.999967,1.000000,0.999619,1.000000
Q_ind_52_anc_1-1,0.999985,1.000000,0.999832,1.000000
Q_ind_53_anc_1-1,0.999985,1.000000,0.999815,1.000000
Q_ind_54_anc_1-1,0.999982,1.000000,0.999800,1.000000
Q_ind_55_anc_1-1,0.999967,1.000000,0.999602,1.000000
Q_ind_56_anc_1-1,0.999979,1.000000,0.999764,1.000000
Q_ind_57_anc_1-1,0.999987,1.000000,0.999857,1.000000
Q_ind_58_anc_1-1,0.999984,1.000000,0.999803,1.000000
Q_ind_59_anc_1-1,0.999971,1.000000,0.999681,1.000000
Q_ind_60_anc_1-1,0.999983,1.000000,0.999805,1.000000
Q_ind_61_anc_1-1,0.003183,0.003076,0.001437,0.005597
Q_ind_62_anc_1-1,0.000030,0.000000,0.000000,0.000377
Q_ind_63_anc_1-1,0.000008,0.000000,0.000000,0.000084
Q_ind_64_anc_1-1,0.000070,0.000000,0.000000,0.000680
Q_ind_65_anc_1-1,0.000009,0.000000,0.000000,0.000084
Q_ind_66_anc_1-1,0.000051,0.000000,0.000000,0.000581
Q_ind_67_anc_1-1,0.000007,0.000000,0.000000,0.000061
Q_ind_68_anc_1-1,0.000011,0.000000,0.000000,0.000114
Q_ind_69_anc_1-1,0.000008,0.000000,0.000000,0.000076
Q_ind_70_anc_1-1,0.000088,0.000000,0.000000,0.000809
Q_ind_71_anc_1-1,0.000968,0.000854,0.000169,0.002367
Q_ind_72_anc_1-1,0.000041,0.000000,0.000000,0.000506
Q_ind_73_anc_1-1,0.000653,0.000541,0.000000,0.002081
Q_ind_74_anc_1-1,0.000044,0.000000,0.000000,0.000573
Q_ind_75_anc_1-1,0.002718,0.002602,0.001086,0.005017
Q_ind_76_anc_1-1,0.006426,0.006318,0.003758,0.009776
Q_ind_77_anc_1-1,0.001204,0.001084,0.000231,0.002825
Q_ind_78_anc_1-1,0.021366,0.021232,0.016163,0.027148
Q_ind_79_anc_1-1,0.010455,0.010336,0.006916,0.014632
Q_ind_80_anc_1-1,0.000474,0.000302,0.000000,0.001916
Q_ind_81_anc_1-1,0.000605,0.000497,0.000000,0.001903
Q_ind_82_anc_1-1,0.009229,0.009119,0.005879,0.013148
Q_ind_83_anc_1-1,0.004689,0.004567,0.002343,0.007630
Q_ind_84_anc_1-1,0.002162,0.002029,0.000674,0.004312
Q_ind_85_anc_1-1,0.999986,1.000000,0.999848,1.000000
Q_ind_86_anc_1-1,0.010268,0.010178,0.006614,0.014535
Q_ind_87_anc_1-1,0.003647,0.003527,0.001666,0.006327
Q_ind_88_anc_1-1,0.001098,0.000986,0.000174,0.002647
Q_ind_89_anc_1-1,0.003791,0.003670,0.001674,0.006595
