param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000012,0.000000,0.000000,0.000146
q_ind_1_pop_0,0.000012,0.000000,0.000000,0.000130
q_ind_2_pop_0,0.000149,0.000000,0.000000,0.001163
q_ind_3_pop_0,0.005127,0.005027,0.002781,0.008095
q_ind_4_pop_0,0.007862,0.007738,0.004710,0.011618
q_ind_5_pop_0,0.004202,0.004086,0.002068,0.006948
q_ind_6_pop_0,0.004948,0.004852,0.002600,0.007812
q_ind_7_pop_0,0.004390,0.004268,0.002243,0.007249
q_ind_8_pop_0,0.004450,0.004320,0.002327,0.007202
q_ind_9_pop_0,0.003811,0.003712,0.001811,0.006498
q_ind_10_pop_0,0.008492,0.008362,0.005441,0.012134
q_ind_11_pop_0,0.004255,0.004147,0.002181,0.006860
q_ind_12_pop_0,0.002229,0.002099,0.000710,0.004448
q_ind_13_pop_0,0.003410,0.003279,0.001521,0.005971
q_ind_14_pop_0,0.008952,0.008834,0.005541,0.013092
q_ind_15_pop_0,0.004096,0.004000,0.002033,0.006814
q_ind_16_pop_0,0.000172,0.000000,0.000000,0.001263
q_ind_17_pop_0,0.005726,0.005607,0.003098,0.009045
q_ind_18_pop_0,0.003561,0.003463,0.001632,0.006143
q_ind_19_pop_0,0.003827,0.003720,0.001926,0.006245
q_ind_20_pop_0,0.002405,0.002289,0.000950,0.004453
q_ind_21_pop_0,0.001795,0.001668,0.000497,0.003850
q_ind_22_pop_0,0.002854,0.002742,0.001244,0.005095
q_ind_23_pop_0,0.001865,0.001746,0.000621,0.003725
q_ind_24_pop_0,0.002726,0.002598,0.001222,0.004875
q_ind_25_pop_0,0.002074,0.001969,0.000754,0.004032
q_ind_26_pop_0,0.004938,0.004791,0.002688,0.007856
q_ind_27_pop_0,0.005719,0.005600,0.003043,0.009103
q_ind_28_pop_0,0.001285,0.001159,0.000140,0.003143
q_ind_29_pop_0,0.001270,0.001153,0.000228,0.003009
q_ind_30_pop_0,0.999990,1.000000,0.999894,1.000000
q_ind_31_pop_0,0.999990,1.000000,0.999882,1.000000
q_ind_32_pop_0,0.999990,1.000000,0.999892,1.000000
q_ind_33_pop_0,0.999985,1.000000,0.999829,1.000000
q_ind_34_pop_0,0.999988,1.000000,0.999871,1.000000
q_ind_35_pop_0,0.999990,1.000000,0.999896,1.000000
q_ind_36_pop_0,0.999990,1.000000,0.999895,1.000000
q_ind_37_pop_0,0.999990,1.000000,0.999889,1.000000
q_ind_38_pop_0,0.999985,1.000000,0.999836,1.000000
q_ind_39_pop_0,0.999925,1.000000,0.999354,1.000000
q_ind_40_pop_0,0.999990,1.000000,0.999881,1.000000
q_ind_41_pop_0,0.999989,1.000000,0.999880,1.000000
q_ind_42_pop_0,0.999990,1.000000,0.999888,1.000000
q_ind_43_pop_0,0.999990,1.000000,0.999892,1.000000
q_ind_44_pop_0,0.999987,1.000000,0.999853,1.000000
q_ind_45_pop_0,0.999983,1.000000,0.999805,1.000000
q_ind_46_pop_0,0.999991,1.000000,0.999903,1.000000
q_ind_47_pop_0,0.999988,1.000000,0.999862,1.000000
q_ind_48_pop_0,0.999983,1.000000,0.999808,1.000000
q_ind_49_pop_0,0.999989,1.000000,0.999880,1.000000
q_ind_50_pop_0,0.999981,1.000000,0.999767,1.000000
q_ind_51_pop_0,0.999989,1.000000,0.999882,1.000000
q_ind_52_pop_0,0.999989,1.000000,0.999871,1.000000
q_ind_53_pop_0,0.999987,1.000000,0.999870,1.000000
q_ind_54_pop_0,0.999980,1.000000,0.999775,1.000000
q_ind_55_pop_0,0.999986,1.000000,0.999841,1.000000
q_ind_56_pop_0,0.999991,1.000000,0.999904,1.000000
q_ind_57_pop_0,0.999988,1.000000,0.999866,1.000000
q_ind_58_pop_0,0.999976,1.000000,0.999728,1.000000
q_ind_59_pop_0,0.999988,1.000000,0.999861,1.000000
q_ind_60_pop_0,0.003395,0.003261,0.001503,0.006045
q_ind_61_pop_0,0.000035,0.000000,0.000000,0.000403
q_ind_62_pop_0,0.000013,0.000000,0.000000,0.000148
q_ind_63_pop_0,0.000076,0.000000,0.000000,0.000693
q_ind_64_pop_0,0.000014,0.000000,0.000000,0.000144
q_ind_65_pop_0,0.000057,0.000000,0.000000,0.000591
q_ind_66_pop_0,0.000017,0.000000,0.000000,0.000203
q_ind_67_pop_0,0.000017,0.000000,0.000000,0.000184
q_ind_68_pop_0,0.000013,0.000000,0.000000,0.000144
q_ind_69_pop_0,0.000093,0.000000,0.000000,0.000820
q_ind_70_pop_0,0.000973,0.000862,0.000171,0.002374
q_ind_71_pop_0,0.000046,0.000000,0.000000,0.000519
q_ind_72_pop_0,0.000660,0.000545,0.000000,0.002082
q_ind_73_pop_0,0.000047,0.000000,0.000000,0.000580
q_ind_74_pop_0,0.002727,0.002614,0.001089,0.005020
q_ind_75_pop_0,0.009751,0.009663,0.006417,0.013646
q_ind_76_pop_0,0.001208,0.001086,0.000234,0.002848
q_ind_77_pop_0,0.053019,0.052925,0.046043,0.060347
q_ind_78_pop_0,0.019949,0.019839,0.015334,0.025086
q_ind_79_pop_0,0.000479,0.000308,0.000000,0.001921
q_ind_80_pop_0,0.000611,0.000502,0.000000,0.001912
q_ind_81_pop_0,0.009240,0.009125,0.005882,0.013150
q_ind_82_pop_0,0.004699,0.004578,0.002347,0.007652
q_ind_83_pop_0,0.002180,0.002056,0.000682,0.004324
q_ind_84_pop_0,0.999989,1.000000,0.999888,1.000000
q_ind_85_pop_0,0.010280,0.010193,0.006615,0.014559
q_ind_86_pop_0,0.003680,0.003564,0.001695,0.006355
q_ind_87_pop_0,0.001107,0.000997,0.000181,0.002673
q_ind_88_pop_0,0.003802,0.003675,0.001676,0.006636
q_ind_89_pop_0,0.001835,0.001720,0.000507,0.003880
q_ind_90_pop_0,0.011924,0.011834,0.007824,0.016513
q_ind_91_pop_0,0.999990,1.000000,0.999879,1.000000
q_ind_92_pop_0,0.960784,0.960845,0.954699,0.966395
q_ind_93_pop_0,0.996648,0.996720,0.994744,0.998130
q_ind_94_pop_0,0.999950,1.000000,0.999479,1.000000
q_ind_95_pop_0,0.999989,1.000000,0.999877,1.000000
q_ind_96_pop_0,0.999981,1.000000,0.999775,1.000000
q_ind_97_pop_0,0.999551,0.999720,0.998296,1.000000
q_ind_98_pop_0,0.998123,0.998210,0.996289,0.999496
q_ind_99_pop_0,0.999988,1.000000,0.999871,1.000000
q_ind_100_pop_0,0.999989,1.000000,0.999876,1.000000
q_ind_101_pop_0,0.999986,1.000000,0.999842,1.000000
q_ind_102_pop_0,0.999980,1.000000,0.999780,1.000000
q_ind_103_pop_0,0.999988,1.000000,0.999868,1.000000
q_ind_104_pop_0,0.999989,1.000000,0.999885,1.000000
q_ind_105_pop_0,0.999987,1.000000,0.999850,1.000000
q_ind_106_pop_0,0.999990,1.000000,0.999897,1.000000
q_ind_107_pop_0,0.999990,1.000000,0.999892,1.000000
q_ind_108_pop_0,0.999985,1.000000,0.999822,1.000000
q_ind_109_pop_0,0.999988,1.000000,0.999879,1.000000
q_ind_110_pop_0,0.999899,1.000000,0.999287,1.000000
q_ind_111_pop_0,0.999989,1.000000,0.999892,1.000000
q_ind_112_pop_0,0.999988,1.000000,0.999866,1.000000
q_ind_113_pop_0,0.999987,1.000000,0.999843,1.000000
q_ind_114_pop_0,0.999990,1.000000,0.999882,1.000000
q_ind_115_pop_0,0.999595,0.999714,0.998533,1.000000
q_ind_116_pop_0,0.999856,1.000000,0.998773,1.000000
q_ind_117_pop_0,0.999989,1.000000,0.999863,1.000000
q_ind_118_pop_0,0.999979,1.000000,0.999753,1.000000
q_ind_119_pop_0,0.999990,1.000000,0.999894,1.000000
q_ind_120_pop_0,0.995600,0.995648,0.993638,0.997200
q_ind_121_pop_0,0.999982,1.000000,0.999807,1.000000
q_ind_122_pop_0,0.999983,1.000000,0.999808,1.000000
q_ind_123_pop_0,0.999986,1.000000,0.999836,1.000000
q_ind_124_pop_0,0.999904,1.000000,0.999260,1.000000
q_ind_125_pop_0,0.999990,1.000000,0.999891,1.000000
q_ind_126_pop_0,0.999990,1.000000,0.999890,1.000000
q_ind_127_pop_0,0.031501,0.031418,0.025877,0.037516
q_ind_128_pop_0,0.999987,1.000000,0.999863,1.000000
q_ind_129_pop_0,0.999945,1.000000,0.999459,1.000000
q_ind_130_pop_0,0.999906,1.000000,0.999245,1.000000
q_ind_131_pop_0,0.007586,0.007488,0.004827,0.010898
q_ind_132_pop_0,0.999982,1.000000,0.999810,1.000000
q_ind_133_pop_0,0.999990,1.000000,0.999875,1.000000
