param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_1_anc_1-1,0.999993,1.000000,0.999928,1.000000
Q_ind_2_anc_1-1,0.999981,1.000000,0.999758,1.000000
Q_ind_3_anc_1-1,0.997984,0.998086,0.996011,0.999364
Q_ind_4_anc_1-1,0.993830,0.993917,0.990909,0.996151
Q_ind_5_anc_1-1,0.988305,0.988380,0.984494,0.991639
Q_ind_6_anc_1-1,0.994127,0.994216,0.991380,0.996386
Q_ind_7_anc_1-1,0.990590,0.990677,0.987103,0.993601
Q_ind_8_anc_1-1,0.993801,0.993900,0.990988,0.996138
Q_ind_9_anc_1-1,0.993057,0.993127,0.990115,0.995545
Q_ind_10_anc_1-1,0.995034,0.995114,0.992427,0.997185
Q_ind_11_anc_1-1,0.990787,0.990844,0.987439,0.993650
Q_ind_12_anc_1-1,0.994568,0.994669,0.991799,0.996719
Q_ind_13_anc_1-1,0.995274,0.995371,0.992668,0.997389
Q_ind_14_anc_1-1,0.992663,0.992781,0.989432,0.995301
Q_ind_15_anc_1-1,0.988268,0.988337,0.984176,0.991673
Q_ind_16_anc_1-1,0.992384,0.992460,0.989229,0.995021
Q_ind_17_anc_1-1,0.997788,0.997889,0.995866,0.999161
Q_ind_18_anc_1-1,0.990262,0.990454,0.985620,0.993828
Q_ind_19_anc_1-1,0.992882,0.992951,0.989963,0.995345
Q_ind_20_anc_1-1,0.993969,0.994043,0.991221,0.996236
Q_ind_21_anc_1-1,0.995975,0.996058,0.993596,0.997864
Q_ind_22_anc_1-1,0.995200,0.995293,0.992659,0.997249
Q_ind_23_anc_1-1,0.997542,0.997635,0.995684,0.998924
Q_ind_24_anc_1-1,0.996159,0.996257,0.993882,0.997969
Q_ind_25_anc_1-1,0.995374,0.995467,0.992910,0.997286
Q_ind_26_anc_1-1,0.996880,0.996960,0.994733,0.998561
Q_ind_27_anc_1-1,0.993113,0.993204,0.990067,0.995655
Q_ind_28_anc_1-1,0.991062,0.991183,0.987643,0.993961
Q_ind_29_anc_1-1,0.998596,0.998681,0.996988,0.999702
Q_ind_30_anc_1-1,0.996707,0.996811,0.994495,0.998399
Q_ind_31_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_32_anc_1-1,0.000003,0.000000,0.000000,0.000013
Q_ind_33_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_34_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_35_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_36_anc_1-1,0.000002,0.000000,0.000000,0.000015
Q_ind_37_anc_1-1,0.000003,0.000000,0.000000,0.000013
Q_ind_38_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_39_anc_1-1,0.000003,0.000000,0.000000,0.000016
Q_ind_40_anc_1-1,0.000003,0.000000,0.000000,0.000013
Q_ind_41_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_42_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_43_anc_1-1,0.000002,0.000000,0.000000,0.000007
Q_ind_44_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_45_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_46_anc_1-1,0.000002,0.000000,0.000000,0.000011
Q_ind_47_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_48_anc_1-1,0.000003,0.000000,0.000000,0.000018
Q_ind_49_anc_1-1,0.000003,0.000000,0.000000,0.000014
Q_ind_50_anc_1-1,0.000003,0.000000,0.000000,0.000013
Q_ind_51_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_52_anc_1-1,0.000002,0.000000,0.000000,0.000008
Q_ind_53_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_54_anc_1-1,0.000001,0.000000,0.000000,0.000007
Q_ind_55_anc_1-1,0.000002,0.000000,0.000000,0.000009
Q_ind_56_anc_1-1,0.000002,0.000000,0.000000,0.000015
Q_ind_57_anc_1-1,0.000014,0.000000,0.000000,0.000193
Q_ind_58_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_59_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_60_anc_1-1,0.000002,0.000000,0.000000,0.000010
Q_ind_61_anc_1-1,0.995283,0.995361,0.992750,0.997316
Q_ind_62_anc_1-1,0.999990,1.000000,0.999880,1.000000
Q_ind_63_anc_1-1,0.999978,1.000000,0.999723,1.000000
Q_ind_64_anc_1-1,0.999969,1.000000,0.999588,1.000000
