param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.999995,1.000000,0.999951,1.000000
q_ind_1_pop_0,0.999983,1.000000,0.999780,1.000000
q_ind_2_pop_0,0.997985,0.998088,0.996012,0.999364
q_ind_3_pop_0,0.993836,0.993925,0.990925,0.996158
q_ind_4_pop_0,0.988307,0.988381,0.984532,0.991639
q_ind_5_pop_0,0.994136,0.994221,0.991404,0.996398
q_ind_6_pop_0,0.990596,0.990682,0.987109,0.993601
q_ind_7_pop_0,0.993804,0.993903,0.990988,0.996144
q_ind_8_pop_0,0.993064,0.993131,0.990131,0.995551
q_ind_9_pop_0,0.995036,0.995116,0.992443,0.997187
q_ind_10_pop_0,0.990791,0.990848,0.987459,0.993650
q_ind_11_pop_0,0.994588,0.994686,0.991921,0.996719
q_ind_12_pop_0,0.995277,0.995376,0.992668,0.997402
q_ind_13_pop_0,0.992667,0.992786,0.989451,0.995303
q_ind_14_pop_0,0.988280,0.988348,0.984182,0.991678
q_ind_15_pop_0,0.992388,0.992463,0.989232,0.995022
q_ind_16_pop_0,0.997790,0.997890,0.995868,0.999161
q_ind_17_pop_0,0.990277,0.990463,0.985655,0.993837
q_ind_18_pop_0,0.992885,0.992955,0.989966,0.995346
q_ind_19_pop_0,0.993974,0.994049,0.991229,0.996237
q_ind_20_pop_0,0.995977,0.996060,0.993601,0.997864
q_ind_21_pop_0,0.995206,0.995295,0.992701,0.997249
q_ind_22_pop_0,0.997543,0.997637,0.995687,0.998925
q_ind_23_pop_0,0.996161,0.996257,0.993882,0.997969
q_ind_24_pop_0,0.995377,0.995469,0.992919,0.997289
q_ind_25_pop_0,0.996883,0.996961,0.994733,0.998568
q_ind_26_pop_0,0.993117,0.993207,0.990068,0.995656
q_ind_27_pop_0,0.991064,0.991187,0.987643,0.993961
q_ind_28_pop_0,0.998598,0.998682,0.996992,0.999706
q_ind_29_pop_0,0.996708,0.996811,0.994497,0.998400
q_ind_30_pop_0,0.000003,0.000000,0.000000,0.000028
q_ind_31_pop_0,0.000004,0.000000,0.000000,0.000033
q_ind_32_pop_0,0.000004,0.000000,0.000000,0.000029
q_ind_33_pop_0,0.000004,0.000000,0.000000,0.000033
q_ind_34_pop_0,0.000004,0.000000,0.000000,0.000038
q_ind_35_pop_0,0.000003,0.000000,0.000000,0.000033
q_ind_36_pop_0,0.000005,0.000000,0.000000,0.000052
q_ind_37_pop_0,0.000003,0.000000,0.000000,0.000028
q_ind_38_pop_0,0.000022,0.000000,0.000000,0.000297
q_ind_39_pop_0,0.000004,0.000000,0.000000,0.000038
q_ind_40_pop_0,0.000003,0.000000,0.000000,0.000027
q_ind_41_pop_0,0.000003,0.000000,0.000000,0.000034
q_ind_42_pop_0,0.000003,0.000000,0.000000,0.000024
q_ind_43_pop_0,0.000003,0.000000,0.000000,0.000030
q_ind_44_pop_0,0.000003,0.000000,0.000000,0.000027
q_ind_45_pop_0,0.000005,0.000000,0.000000,0.000052
q_ind_46_pop_0,0.000003,0.000000,0.000000,0.000026
q_ind_47_pop_0,0.000004,0.000000,0.000000,0.000037
q_ind_48_pop_0,0.000005,0.000000,0.000000,0.000051
q_ind_49_pop_0,0.000005,0.000000,0.000000,0.000048
q_ind_50_pop_0,0.000003,0.000000,0.000000,0.000026
q_ind_51_pop_0,0.000003,0.000000,0.000000,0.000029
