param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_1_anc_1-1,0.000019,0.000000,0.000000,0.000204
Q_ind_2_anc_1-1,0.000019,0.000000,0.000000,0.000210
Q_ind_3_anc_1-1,0.000022,0.000000,0.000000,0.000243
Q_ind_4_anc_1-1,0.000019,0.000000,0.000000,0.000201
Q_ind_5_anc_1-1,0.000019,0.000000,0.000000,0.000216
Q_ind_6_anc_1-1,0.000021,0.000000,0.000000,0.000235
Q_ind_7_anc_1-1,0.000019,0.000000,0.000000,0.000207
Q_ind_8_anc_1-1,0.000024,0.000000,0.000000,0.000262
Q_ind_9_anc_1-1,0.000018,0.000000,0.000000,0.000196
Q_ind_10_anc_1-1,0.000026,0.000000,0.000000,0.000260
Q_ind_11_anc_1-1,0.000035,0.000000,0.000000,0.000378
Q_ind_12_anc_1-1,0.000019,0.000000,0.000000,0.000201
Q_ind_13_anc_1-1,0.000023,0.000000,0.000000,0.000251
Q_ind_14_anc_1-1,0.000020,0.000000,0.000000,0.000221
Q_ind_15_anc_1-1,0.000017,0.000000,0.000000,0.000192
Q_ind_16_anc_1-1,0.000024,0.000000,0.000000,0.000266
Q_ind_17_anc_1-1,0.000019,0.000000,0.000000,0.000212
Q_ind_18_anc_1-1,0.000017,0.000000,0.000000,0.000178
Q_ind_19_anc_1-1,0.000022,0.000000,0.000000,0.000231
Q_ind_20_anc_1-1,0.000024,0.000000,0.000000,0.000260
Q_ind_21_anc_1-1,0.000022,0.000000,0.000000,0.000258
Q_ind_22_anc_1-1,0.000025,0.000000,0.000000,0.000268
Q_ind_23_anc_1-1,0.000017,0.000000,0.000000,0.000180
Q_ind_24_anc_1-1,0.000027,0.000000,0.000000,0.000311
Q_ind_25_anc_1-1,0.000020,0.000000,0.000000,0.000225
Q_ind_26_anc_1-1,0.000018,0.000000,0.000000,0.000208
Q_ind_27_anc_1-1,0.000031,0.000000,0.000000,0.000346
Q_ind_28_anc_1-1,0.000054,0.000000,0.000000,0.000572
Q_ind_29_anc_1-1,0.000021,0.000000,0.000000,0.000225
Q_ind_30_anc_1-1,0.000021,0.000000,0.000000,0.000222
Q_ind_31_anc_1-1,0.999955,0.999999,0.999604,1.000000
Q_ind_32_anc_1-1,0.999960,0.999999,0.999662,1.000000
Q_ind_33_anc_1-1,0.998429,0.998536,0.996122,1.000000
Q_ind_34_anc_1-1,0.999940,0.999998,0.999463,1.000000
Q_ind_35_anc_1-1,0.999954,0.999999,0.999603,1.000000
Q_ind_36_anc_1-1,0.999894,0.999997,0.999099,1.000000
Q_ind_37_anc_1-1,0.999870,0.999994,0.999002,1.000000
Q_ind_38_anc_1-1,0.999961,0.999999,0.999630,1.000000
Q_ind_39_anc_1-1,0.999897,0.999998,0.999067,1.000000
Q_ind_40_anc_1-1,0.999956,0.999999,0.999599,1.000000
Q_ind_41_anc_1-1,0.999947,0.999999,0.999518,1.000000
Q_ind_42_anc_1-1,0.999957,0.999999,0.999619,1.000000
Q_ind_43_anc_1-1,0.999961,0.999999,0.999641,1.000000
Q_ind_44_anc_1-1,0.999959,0.999999,0.999634,1.000000
Q_ind_45_anc_1-1,0.999956,0.999999,0.999596,1.000000
Q_ind_46_anc_1-1,0.999302,0.999464,0.997651,1.000000
Q_ind_47_anc_1-1,0.999957,0.999999,0.999607,1.000000
Q_ind_48_anc_1-1,0.999956,0.999999,0.999592,1.000000
Q_ind_49_anc_1-1,0.999952,0.999999,0.999583,1.000000
Q_ind_50_anc_1-1,0.999878,0.999996,0.998948,1.000000
Q_ind_51_anc_1-1,0.999739,0.999991,0.997739,1.000000
Q_ind_52_anc_1-1,0.999952,0.999999,0.999586,1.000000
Q_ind_53_anc_1-1,0.999957,0.999999,0.999627,1.000000
Q_ind_54_anc_1-1,0.999953,0.999999,0.999561,1.000000
Q_ind_55_anc_1-1,0.997784,0.997831,0.994236,1.000000
Q_ind_56_anc_1-1,0.999940,0.999998,0.999484,1.000000
Q_ind_57_anc_1-1,0.999938,0.999998,0.999494,1.000000
Q_ind_58_anc_1-1,0.998403,0.998693,0.994700,1.000000
Q_ind_59_anc_1-1,0.999900,0.999996,0.999172,1.000000
Q_ind_60_anc_1-1,0.999952,0.999999,0.999570,1.000000
Q_ind_61_anc_1-1,0.000092,0.000000,0.000000,0.000837
Q_ind_62_anc_1-1,0.000021,0.000000,0.000000,0.000242
Q_ind_63_anc_1-1,0.000018,0.000000,0.000000,0.000204
Q_ind_64_anc_1-1,0.000018,0.000000,0.000000,0.000211
Q_ind_65_anc_1-1,0.000031,0.000000,0.000000,0.000353
Q_ind_66_anc_1-1,0.000021,0.000000,0.000000,0.000219
Q_ind_67_anc_1-1,0.000030,0.000000,0.000000,0.000323
Q_ind_68_anc_1-1,0.000021,0.000000,0.000000,0.000223
Q_ind_69_anc_1-1,0.000020,0.000000,0.000000,0.000236
Q_ind_70_anc_1-1,0.000021,0.000000,0.000000,0.000237
Q_ind_71_anc_1-1,0.000021,0.000000,0.000000,0.000215
Q_ind_72_anc_1-1,0.000019,0.000000,0.000000,0.000210
Q_ind_73_anc_1-1,0.000020,0.000000,0.000000,0.000213
Q_ind_74_anc_1-1,0.000021,0.000000,0.000000,0.000235
Q_ind_75_anc_1-1,0.000022,0.000000,0.000000,0.000249
Q_ind_76_anc_1-1,0.000122,0.000000,0.000000,0.000955
Q_ind_77_anc_1-1,0.000025,0.000000,0.000000,0.000253
Q_ind_78_anc_1-1,0.000034,0.000000,0.000000,0.000375
Q_ind_79_anc_1-1,0.000024,0.000000,0.000000,0.000266
Q_ind_80_anc_1-1,0.000083,0.000000,0.000000,0.000864
Q_ind_81_anc_1-1,0.000038,0.000000,0.000000,0.000428
Q_ind_82_anc_1-1,0.000029,0.000000,0.000000,0.000320
Q_ind_83_anc_1-1,0.000023,0.000000,0.000000,0.000241
Q_ind_84_anc_1-1,0.000032,0.000000,0.000000,0.000348
Q_ind_85_anc_1-1,0.000028,0.000000,0.000000,0.000300
Q_ind_86_anc_1-1,0.000030,0.000000,0.000000,0.000341
Q_ind_87_anc_1-1,0.000018,0.000000,0.000000,0.000190
Q_ind_88_anc_1-1,0.000025,0.000000,0.000000,0.000278
Q_ind_89_anc_1-1,0.000019,0.000000,0.000000,0.000211
Q_ind_90_anc_1-1,0.000029,0.000000,0.000000,0.000326
Q_ind_91_anc_1-1,0.000030,0.000000,0.000000,0.000329
Q_ind_92_anc_1-1,0.000020,0.000000,0.000000,0.000218
Q_ind_93_anc_1-1,0.000105,0.000000,0.000000,0.001105
Q_ind_94_anc_1-1,0.000036,0.000000,0.000000,0.000382
Q_ind_95_anc_1-1,0.000045,0.000000,0.000000,0.000515
Q_ind_96_anc_1-1,0.000066,0.000000,0.000000,0.000710
Q_ind_97_anc_1-1,0.000031,0.000000,0.000000,0.000335
Q_ind_98_anc_1-1,0.000033,0.000000,0.000000,0.000348
Q_ind_99_anc_1-1,0.000026,0.000000,0.000000,0.000279
Q_ind_100_anc_1-1,0.000027,0.000000,0.000000,0.000306
Q_ind_101_anc_1-1,0.000026,0.000000,0.000000,0.000282
Q_ind_102_anc_1-1,0.000021,0.000000,0.000000,0.000217
Q_ind_103_anc_1-1,0.000044,0.000000,0.000000,0.000496
Q_ind_104_anc_1-1,0.000029,0.000000,0.000000,0.000334
Q_ind_105_anc_1-1,0.000030,0.000000,0.000000,0.000338
Q_ind_106_anc_1-1,0.000936,0.000784,0.000020,0.002677
Q_ind_107_anc_1-1,0.000024,0.000000,0.000000,0.000247
Q_ind_108_anc_1-1,0.000032,0.000000,0.000000,0.000354
Q_ind_109_anc_1-1,0.000017,0.000000,0.000000,0.000182
Q_ind_110_anc_1-1,0.000060,0.000000,0.000000,0.000614
Q_ind_111_anc_1-1,0.000018,0.000000,0.000000,0.000200
Q_ind_112_anc_1-1,0.000020,0.000000,0.000000,0.000205
Q_ind_113_anc_1-1,0.000025,0.000000,0.000000,0.000266
Q_ind_114_anc_1-1,0.000034,0.000000,0.000000,0.000389
Q_ind_115_anc_1-1,0.000021,0.000000,0.000000,0.000226
Q_ind_116_anc_1-1,0.000098,0.000000,0.000000,0.000783
Q_ind_117_anc_1-1,0.000019,0.000000,0.000000,0.000210
Q_ind_118_anc_1-1,0.000411,0.000278,0.000000,0.001584
Q_ind_119_anc_1-1,0.000018,0.000000,0.000000,0.000204
Q_ind_120_anc_1-1,0.000018,0.000000,0.000000,0.000189
Q_ind_121_anc_1-1,0.000031,0.000000,0.000000,0.000337
Q_ind_122_anc_1-1,0.000026,0.000000,0.000000,0.000283
Q_ind_123_anc_1-1,0.000023,0.000000,0.000000,0.000250
Q_ind_124_anc_1-1,0.000020,0.000000,0.000000,0.000221
Q_ind_125_anc_1-1,0.000019,0.000000,0.000000,0.000210
Q_ind_126_anc_1-1,0.000028,0.000000,0.000000,0.000304
Q_ind_127_anc_1-1,0.000032,0.000000,0.000000,0.000347
Q_ind_128_anc_1-1,0.000024,0.000000,0.000000,0.000263
Q_ind_129_anc_1-1,0.000018,0.000000,0.000000,0.000188
Q_ind_130_anc_1-1,0.000019,0.000000,0.000000,0.000201
Q_ind_131_anc_1-1,0.000028,0.000000,0.000000,0.000290
Q_ind_132_anc_1-1,0.000019,0.000000,0.000000,0.000214
Q_ind_133_anc_1-1,0.000022,0.000000,0.000000,0.000245
Q_ind_134_anc_1-1,0.000019,0.000000,0.000000,0.000212
Q_ind_135_anc_1-1,0.000027,0.000000,0.000000,0.000276
Q_ind_136_anc_1-1,0.000068,0.000000,0.000000,0.000750
Q_ind_137_anc_1-1,0.000041,0.000000,0.000000,0.000470
Q_ind_138_anc_1-1,0.000019,0.000000,0.000000,0.000204
Q_ind_139_anc_1-1,0.000018,0.000000,0.000000,0.000208
Q_ind_140_anc_1-1,0.000019,0.000000,0.000000,0.000210
Q_ind_141_anc_1-1,0.000019,0.000000,0.000000,0.000204
Q_ind_142_anc_1-1,0.000020,0.000000,0.000000,0.000213
Q_ind_143_anc_1-1,0.000018,0.000000,0.000000,0.000203
Q_ind_144_anc_1-1,0.000034,0.000000,0.000000,0.000363
Q_ind_145_anc_1-1,0.000020,0.000000,0.000000,0.000211
Q_ind_146_anc_1-1,0.000024,0.000000,0.000000,0.000247
Q_ind_147_anc_1-1,0.000018,0.000000,0.000000,0.000200
Q_ind_148_anc_1-1,0.000022,0.000000,0.000000,0.000234
Q_ind_149_anc_1-1,0.000020,0.000000,0.000000,0.000214
Q_ind_150_anc_1-1,0.000019,0.000000,0.000000,0.000205
Q_ind_151_anc_1-1,0.000038,0.000000,0.000000,0.000435
Q_ind_152_anc_1-1,0.000020,0.000000,0.000000,0.000214
Q_ind_153_anc_1-1,0.000032,0.000000,0.000000,0.000355
Q_ind_154_anc_1-1,0.000025,0.000000,0.000000,0.000279
Q_ind_155_anc_1-1,0.000025,0.000000,0.000000,0.000287
Q_ind_156_anc_1-1,0.000029,0.000000,0.000000,0.000332
Q_ind_157_anc_1-1,0.000027,0.000000,0.000000,0.000294
Q_ind_158_anc_1-1,0.000030,0.000000,0.000000,0.000322
Q_ind_159_anc_1-1,0.000021,0.000000,0.000000,0.000232
Q_ind_160_anc_1-1,0.000029,0.000000,0.000000,0.000300
Q_ind_161_anc_1-1,0.000019,0.000000,0.000000,0.000213
Q_ind_162_anc_1-1,0.000024,0.000000,0.000000,0.000260
Q_ind_163_anc_1-1,0.000031,0.000000,0.000000,0.000336
Q_ind_164_anc_1-1,0.000043,0.000000,0.000000,0.000471
Q_ind_165_anc_1-1,0.000019,0.000000,0.000000,0.000200
Q_ind_166_anc_1-1,0.000020,0.000000,0.000000,0.000219
Q_ind_167_anc_1-1,0.000023,0.000000,0.000000,0.000255
Q_ind_168_anc_1-1,0.000232,0.000024,0.000000,0.001360
Q_ind_169_anc_1-1,0.000056,0.000000,0.000000,0.000615
Q_ind_170_anc_1-1,0.000036,0.000000,0.000000,0.000390
Q_ind_171_anc_1-1,0.000022,0.000000,0.000000,0.000228
Q_ind_172_anc_1-1,0.000024,0.000000,0.000000,0.000266
Q_ind_173_anc_1-1,0.000025,0.000000,0.000000,0.000266
Q_ind_174_anc_1-1,0.000021,0.000000,0.000000,0.000223
Q_ind_175_anc_1-1,0.000096,0.000000,0.000000,0.000884
Q_ind_176_anc_1-1,0.000062,0.000000,0.000000,0.000568
Q_ind_177_anc_1-1,0.000035,0.000000,0.000000,0.000397
Q_ind_178_anc_1-1,0.000143,0.000000,0.000000,0.001476
Q_ind_179_anc_1-1,0.000019,0.000000,0.000000,0.000208
Q_ind_180_anc_1-1,0.009798,0.009559,0.004025,0.016775
Q_ind_181_anc_1-1,0.000056,0.000000,0.000000,0.000596
Q_ind_182_anc_1-1,0.006190,0.005996,0.002126,0.011456
Q_ind_183_anc_1-1,0.002061,0.000849,0.000000,0.008791
Q_ind_184_anc_1-1,0.000022,0.000000,0.000000,0.000243
Q_ind_185_anc_1-1,0.000191,0.000000,0.000000,0.002019
Q_ind_186_anc_1-1,0.000069,0.000000,0.000000,0.000731
Q_ind_187_anc_1-1,0.002323,0.001463,0.000000,0.008493
Q_ind_188_anc_1-1,0.000361,0.000000,0.000000,0.003142
Q_ind_189_anc_1-1,0.000081,0.000000,0.000000,0.000896
Q_ind_190_anc_1-1,0.001043,0.000017,0.000000,0.006232
Q_ind_191_anc_1-1,0.000450,0.000001,0.000000,0.004065
Q_ind_192_anc_1-1,0.000148,0.000000,0.000000,0.001589
Q_ind_193_anc_1-1,0.001526,0.000704,0.000000,0.006441
Q_ind_194_anc_1-1,0.005543,0.005468,0.000000,0.013274
Q_ind_195_anc_1-1,0.006584,0.006391,0.001983,0.012373
Q_ind_196_anc_1-1,0.000491,0.000001,0.000000,0.004166
Q_ind_197_anc_1-1,0.004351,0.003868,0.000000,0.012760
Q_ind_198_anc_1-1,0.002448,0.000326,0.000000,0.010974
Q_ind_199_anc_1-1,0.006863,0.006675,0.001462,0.013029
Q_ind_200_anc_1-1,0.006127,0.005942,0.000931,0.012025
Q_ind_201_anc_1-1,0.008138,0.007889,0.002224,0.015438
Q_ind_202_anc_1-1,0.000106,0.000000,0.000000,0.001220
Q_ind_203_anc_1-1,0.013941,0.013722,0.006915,0.022043
Q_ind_204_anc_1-1,0.000049,0.000000,0.000000,0.000529
Q_ind_205_anc_1-1,0.000435,0.000000,0.000000,0.005055
Q_ind_206_anc_1-1,0.001068,0.000035,0.000000,0.005881
Q_ind_207_anc_1-1,0.007544,0.007281,0.002042,0.014257
Q_ind_208_anc_1-1,0.000368,0.000000,0.000000,0.003572
Q_ind_209_anc_1-1,0.000894,0.000003,0.000000,0.006265
Q_ind_210_anc_1-1,0.000024,0.000000,0.000000,0.000264
Q_ind_211_anc_1-1,0.002682,0.002115,0.000000,0.008864
Q_ind_212_anc_1-1,0.000130,0.000000,0.000000,0.001514
Q_ind_213_anc_1-1,0.000045,0.000000,0.000000,0.000469
Q_ind_214_anc_1-1,0.000028,0.000000,0.000000,0.000313
Q_ind_215_anc_1-1,0.000029,0.000000,0.000000,0.000316
Q_ind_216_anc_1-1,0.000099,0.000000,0.000000,0.001087
Q_ind_217_anc_1-1,0.004015,0.003738,0.000000,0.009598
Q_ind_218_anc_1-1,0.000181,0.000000,0.000000,0.001944
Q_ind_219_anc_1-1,0.000497,0.000002,0.000000,0.003645
Q_ind_220_anc_1-1,0.018893,0.018612,0.010455,0.028760
Q_ind_221_anc_1-1,0.145033,0.144768,0.127016,0.164470
Q_ind_222_anc_1-1,0.045058,0.044898,0.033981,0.057039
Q_ind_223_anc_1-1,0.135266,0.135023,0.118008,0.153883
Q_ind_224_anc_1-1,0.010920,0.010756,0.005531,0.017148
Q_ind_225_anc_1-1,0.062941,0.062741,0.050662,0.076020
Q_ind_226_anc_1-1,0.027395,0.027314,0.019320,0.036181
Q_ind_227_anc_1-1,0.018077,0.017835,0.011208,0.026012
Q_ind_228_anc_1-1,0.019433,0.019234,0.013090,0.026683
Q_ind_229_anc_1-1,0.019132,0.019018,0.012432,0.026657
Q_ind_230_anc_1-1,0.022670,0.022555,0.014644,0.031725
Q_ind_231_anc_1-1,0.014152,0.013965,0.007646,0.021926
Q_ind_232_anc_1-1,0.013674,0.013526,0.008013,0.020099
Q_ind_233_anc_1-1,0.021559,0.021414,0.013908,0.030056
Q_ind_234_anc_1-1,0.014244,0.014111,0.009093,0.020227
Q_ind_235_anc_1-1,0.020127,0.020013,0.013338,0.027699
Q_ind_236_anc_1-1,0.009816,0.009657,0.005368,0.015238
Q_ind_237_anc_1-1,0.034145,0.034027,0.025913,0.043237
Q_ind_238_anc_1-1,0.999843,0.999994,0.998736,1.000000
