param,mean,median,ci_0.950_LB,ci_0.950_UB
q_ind_0_pop_0,0.000030,0.000001,0.000000,0.000280
q_ind_1_pop_0,0.000030,0.000001,0.000000,0.000252
q_ind_2_pop_0,0.000042,0.000001,0.000000,0.000355
q_ind_3_pop_0,0.002886,0.002830,0.001544,0.004539
q_ind_4_pop_0,0.000036,0.000001,0.000000,0.000317
q_ind_5_pop_0,0.000034,0.000001,0.000000,0.000307
q_ind_6_pop_0,0.000033,0.000001,0.000000,0.000304
q_ind_7_pop_0,0.001852,0.001791,0.000638,0.003434
q_ind_8_pop_0,0.000032,0.000001,0.000000,0.000301
q_ind_9_pop_0,0.000045,0.000001,0.000000,0.000372
q_ind_10_pop_0,0.000172,0.000022,0.000000,0.001004
q_ind_11_pop_0,0.000031,0.000001,0.000000,0.000268
q_ind_12_pop_0,0.000036,0.000001,0.000000,0.000312
q_ind_13_pop_0,0.000031,0.000001,0.000000,0.000278
q_ind_14_pop_0,0.000028,0.000001,0.000000,0.000252
q_ind_15_pop_0,0.000038,0.000001,0.000000,0.000345
q_ind_16_pop_0,0.000029,0.000001,0.000000,0.000272
q_ind_17_pop_0,0.000043,0.000001,0.000000,0.000371
q_ind_18_pop_0,0.000041,0.000001,0.000000,0.000351
q_ind_19_pop_0,0.000397,0.000280,0.000000,0.001416
q_ind_20_pop_0,0.000043,0.000001,0.000000,0.000375
q_ind_21_pop_0,0.000424,0.000244,0.000000,0.001715
q_ind_22_pop_0,0.000027,0.000001,0.000000,0.000230
q_ind_23_pop_0,0.000048,0.000001,0.000000,0.000424
q_ind_24_pop_0,0.000032,0.000001,0.000000,0.000289
q_ind_25_pop_0,0.000031,0.000001,0.000000,0.000266
q_ind_26_pop_0,0.000047,0.000001,0.000000,0.000421
q_ind_27_pop_0,0.001478,0.001418,0.000000,0.003675
q_ind_28_pop_0,0.000037,0.000001,0.000000,0.000332
q_ind_29_pop_0,0.000053,0.000002,0.000000,0.000454
q_ind_30_pop_0,0.999968,0.999999,0.999711,1.000000
q_ind_31_pop_0,0.999971,0.999999,0.999759,1.000000
q_ind_32_pop_0,0.999197,0.999253,0.998036,1.000000
q_ind_33_pop_0,0.999955,0.999999,0.999609,1.000000
q_ind_34_pop_0,0.999967,0.999999,0.999705,1.000000
q_ind_35_pop_0,0.999937,0.999998,0.999483,1.000000
q_ind_36_pop_0,0.999918,0.999996,0.999360,1.000000
q_ind_37_pop_0,0.999972,0.999999,0.999741,1.000000
q_ind_38_pop_0,0.999937,0.999998,0.999450,1.000000
q_ind_39_pop_0,0.999967,0.999999,0.999711,1.000000
q_ind_40_pop_0,0.999959,0.999999,0.999620,1.000000
q_ind_41_pop_0,0.999970,0.999999,0.999729,1.000000
q_ind_42_pop_0,0.999971,0.999999,0.999739,1.000000
q_ind_43_pop_0,0.999971,0.999999,0.999739,1.000000
q_ind_44_pop_0,0.999968,0.999999,0.999705,1.000000
q_ind_45_pop_0,0.999455,0.999553,0.998307,1.000000
q_ind_46_pop_0,0.999968,0.999999,0.999712,1.000000
q_ind_47_pop_0,0.999968,0.999999,0.999707,1.000000
q_ind_48_pop_0,0.999964,0.999999,0.999675,1.000000
q_ind_49_pop_0,0.999924,0.999997,0.999385,1.000000
q_ind_50_pop_0,0.999853,0.999994,0.998827,1.000000
q_ind_51_pop_0,0.999964,0.999999,0.999670,1.000000
q_ind_52_pop_0,0.999969,0.999999,0.999714,1.000000
q_ind_53_pop_0,0.999966,0.999999,0.999694,1.000000
q_ind_54_pop_0,0.998874,0.998900,0.997058,1.000000
q_ind_55_pop_0,0.999954,0.999999,0.999612,1.000000
q_ind_56_pop_0,0.999952,0.999999,0.999605,1.000000
q_ind_57_pop_0,0.999182,0.999326,0.997316,1.000000
q_ind_58_pop_0,0.999939,0.999997,0.999506,1.000000
q_ind_59_pop_0,0.999964,0.999999,0.999671,1.000000
q_ind_60_pop_0,0.001706,0.001638,0.000167,0.003590
q_ind_61_pop_0,0.000032,0.000001,0.000000,0.000293
q_ind_62_pop_0,0.000030,0.000001,0.000000,0.000269
q_ind_63_pop_0,0.000029,0.000001,0.000000,0.000275
q_ind_64_pop_0,0.002065,0.001998,0.000881,0.003636
q_ind_65_pop_0,0.000045,0.000001,0.000000,0.000388
q_ind_66_pop_0,0.000375,0.000056,0.000000,0.002005
q_ind_67_pop_0,0.000168,0.000011,0.000000,0.001143
q_ind_68_pop_0,0.000037,0.000001,0.000000,0.000342
q_ind_69_pop_0,0.000035,0.000001,0.000000,0.000313
q_ind_70_pop_0,0.000040,0.000001,0.000000,0.000348
q_ind_71_pop_0,0.000038,0.000001,0.000000,0.000332
q_ind_72_pop_0,0.050094,0.049991,0.043932,0.056783
q_ind_73_pop_0,0.003103,0.003023,0.001376,0.005241
q_ind_74_pop_0,0.003032,0.002961,0.000850,0.005460
q_ind_75_pop_0,0.011174,0.011086,0.007615,0.015190
