Visual_ID	Age_Class	Ancestry_Class	Count
1-BHS	Adult	1-BHS	57
1-BHS	Adult	4-F1	0
1-BHS	Adult	2-FMS	1
1-BHS	Adult	5-FMS_Bx	0
1-BHS	Adult	7-Gen_3	0
1-BHS	Adult	3-RBS	0
1-BHS	Adult	6-RBS_Bx	0
1-BHS	Age_1+	1-BHS	5
1-BHS	Age_1+	4-F1	0
1-BHS	Age_1+	2-FMS	0
1-BHS	Age_1+	5-FMS_Bx	0
1-BHS	Age_1+	7-Gen_3	0
1-BHS	Age_1+	3-RBS	0
1-BHS	Age_1+	6-RBS_Bx	0
1-BHS	Juvenile	1-BHS	0
1-BHS	Juvenile	4-F1	0
1-BHS	Juvenile	2-FMS	0
1-BHS	Juvenile	5-FMS_Bx	0
1-BHS	Juvenile	7-Gen_3	0
1-BHS	Juvenile	3-RBS	0
1-BHS	Juvenile	6-RBS_Bx	0
1-BHS	Larvae	1-BHS	0
1-BHS	Larvae	4-F1	0
1-BHS	Larvae	2-FMS	0
1-BHS	Larvae	5-FMS_Bx	0
1-BHS	Larvae	7-Gen_3	0
1-BHS	Larvae	3-RBS	0
1-BHS	Larvae	6-RBS_Bx	0
5-Catostomidae	Adult	1-BHS	0
5-Catostomidae	Adult	4-F1	0
5-Catostomidae	Adult	2-FMS	0
5-Catostomidae	Adult	5-FMS_Bx	0
5-Catostomidae	Adult	7-Gen_3	0
5-Catostomidae	Adult	3-RBS	0
5-Catostomidae	Adult	6-RBS_Bx	0
5-Catostomidae	Age_1+	1-BHS	0
5-Catostomidae	Age_1+	4-F1	0
5-Catostomidae	Age_1+	2-FMS	0
5-Catostomidae	Age_1+	5-FMS_Bx	0
5-Catostomidae	Age_1+	7-Gen_3	0
5-Catostomidae	Age_1+	3-RBS	0
5-Catostomidae	Age_1+	6-RBS_Bx	0
5-Catostomidae	Juvenile	1-BHS	0
5-Catostomidae	Juvenile	4-F1	7
5-Catostomidae	Juvenile	2-FMS	1
5-Catostomidae	Juvenile	5-FMS_Bx	0
5-Catostomidae	Juvenile	7-Gen_3	5
5-Catostomidae	Juvenile	3-RBS	3
5-Catostomidae	Juvenile	6-RBS_Bx	0
5-Catostomidae	Larvae	1-BHS	2
