anc	gen	dna	cnt
BHS	0	1-BHS	71
BHS	0	2-FMS	0
BHS	0	3-RBS	0
BHS	0	4-DES	1
BHS	0	5-SON	0
BHS	0	6-NA	0
FMS	0	1-BHS	0
FMS	0	2-FMS	161
FMS	0	3-RBS	1
FMS	0	4-DES	0
FMS	0	5-SON	9
FMS	0	6-NA	1
RBS	0	1-BHS	3
RBS	0	2-FMS	1
RBS	0	3-RBS	516
RBS	0	4-DES	0
RBS	0	5-SON	9
RBS	0	6-NA	9
FMS_x_RBS	1	1-BHS	0
FMS_x_RBS	1	2-FMS	4
FMS_x_RBS	1	3-RBS	224
FMS_x_RBS	1	4-DES	0
FMS_x_RBS	1	5-SON	2
FMS_x_RBS	1	6-NA	4
FMS_Bx	2	1-BHS	0
FMS_Bx	2	2-FMS	4
FMS_Bx	2	3-RBS	3
FMS_Bx	2	4-DES	0
FMS_Bx	2	5-SON	1
FMS_Bx	2	6-NA	0
RBS_Bx	2	1-BHS	0
RBS_Bx	2	2-FMS	0
RBS_Bx	2	3-RBS	3
RBS_Bx	2	4-DES	0
RBS_Bx	2	5-SON	0
RBS_Bx	2	6-NA	0
BHS_x_FMS	3	1-BHS	2
BHS_x_FMS	3	2-FMS	1
BHS_x_FMS	3	3-RBS	0
BHS_x_FMS	3	4-DES	0
BHS_x_FMS	3	5-SON	0
BHS_x_FMS	3	6-NA	0
BHS_x_RBS	3	1-BHS	0
BHS_x_RBS	3	2-FMS	0
BHS_x_RBS	3	3-RBS	1
BHS_x_RBS	3	4-DES	0
BHS_x_RBS	3	5-SON	0
BHS_x_RBS	3	6-NA	0
FMS_x_RBS	3	1-BHS	0
FMS_x_RBS	3	2-FMS	5
FMS_x_RBS	3	3-RBS	90
FMS_x_RBS	3	4-DES	0
FMS_x_RBS	3	5-SON	2
FMS_x_RBS	3	6-NA	0
