cat	bpp
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	0.99993
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
FMS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
BHS	1
FMS	1
FMS_X_FMSBx	0.9997625
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
BHS	1
FMS	1
FMS	1
FMS	1
BHS	1
FMS	1
FMS	1
BHS	1
FMS	1
BHS	1
FMS	1
BHS	1
BHS	1
BHS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
BHS	1
FMS	1
FMS	1
FMS	1
FMS	1
BHS	1
BHS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMSBx_X_FMSBx	0.994465
FMS	1
FMS	1
FMS	1
FMS	1
BHSBx_X_FMSBx	0.67523
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
