cat	bpp
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS_X_FMSBx	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS_X_FMSBx	0.970643333
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
FMS	1
F1	1
F1	1
F1	1
F1	1
FMS	1
F1	1
FMSBx	0.99998
F1	1
F1	1
F1	1
F1	1
F1	1
F1	1
F1	1
F1	1
F1	1
F1	1
F1	1
FMS_X_RBSBx	0.96027
F1	1
FMSBx_X_F1	0.802386667
FMSBx	0.955233333
F1	1
F1	1
FMS_X_RBSBx	0.99999
F1	1
F1	1
F1	1
F1	1
F1	1
FMS	1
FMS_X_RBSBx	0.995443333
F1	1
F1	1
FMSBx	0.800133333
FMS	1
F1	1
F1	1
FMSBx	0.99943
FMS_X_FMSBx	0.993663333
F1	1
FMSBx_X_RBSBx	0.99987
FMSBx_X_RBSBx	0.8876
FMSBx_X_RBSBx	0.99991
F1	1
FMSBx_X_RBSBx	0.99969
F1	0.99996
F1	1
F1	1
F1	0.99994
F1	1
F1	0.998636667
F1	1
F1	0.99999
F1	1
F1	0.99985
F1	1
F1	1
RBS	1
F1	0.99998
F1	1
