Individual	ASIR	Hybrid_Classification	Sample_Group	Lifestage	Comment	Hybrid_Generation	Hybrid_Generation2	River_Mile		SL	TL
CdisW21SJR_0019		FMS	CdisW21SJR_ADULT	ADULT		0	FMS		CdisW21SJR_0019	245	288
ClatXW19SJR_0001		F1	ClatXW19SJR_ADULT	ADULT		1	1		ClatXW19SJR_0001		423
ClatXW19SJR_0002		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0002		265
ClatXW19SJR_0003		F1	ClatXW19SJR_ADULT	ADULT		1	1		ClatXW19SJR_0003		540
ClatXW19SJR_0004		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0004		267
ClatXW19SJR_0005		FMS	ClatXW19SJR_ADULT	ADULT		0	FMS		ClatXW19SJR_0005		461
ClatXW19SJR_0006		F1	ClatXW19SJR_ADULT	ADULT		1	1		ClatXW19SJR_0006		485
ClatXW19SJR_0007		ClatBx	ClatXW19SJR_age1	age1		2	2		ClatXW19SJR_0007		228
ClatXW19SJR_0008		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0008		234
ClatXW19SJR_0009		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0009		259
ClatXW19SJR_0010		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0010		255
ClatXW19SJR_0011		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0011		245
ClatXW19SJR_0012		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0012		285
ClatXW19SJR_0013		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0013		386
ClatXW19SJR_0014		F1	ClatXW19SJR_age1	age1		1	1		ClatXW19SJR_0014		271
ClatXW19SJR_0015		F1	ClatXW19SJR_ADULT	ADULT		1	1		ClatXW19SJR_0015		444
ClatXW19SJR_0016		F1	ClatXW19SJR_ADULT	ADULT		1	1		ClatXW19SJR_0016		480
ClatXW20SJR_0001		F1	ClatXW20SJR_age1	age1		1	1		ClatXW20SJR_0001	328	387
ClatXW20SJR_0002		F1	ClatXW20SJR_age1	age1		1	1		ClatXW20SJR_0002	276	341
ClatXW20SJR_0003		Clat_X_XtexBx	ClatXW20SJR_age1	age1		3	3		ClatXW20SJR_0003	131	161
